time, Quad.GPS.X
0.105000,-0.372316
0.205000,0.639990
0.305000,-0.736711
0.404998,0.869244
0.504997,0.180133
0.604996,-0.945246
0.704994,0.887983
0.804993,-0.259657
0.904992,-0.450506
1.004991,-1.571713
1.104996,-0.470591
1.205000,-0.521815
1.305005,0.253360
1.405010,0.472020
1.505014,-0.728262
1.605019,-0.304048
1.705024,0.691475
1.805028,0.977226
1.905033,-0.719885
2.005037,0.026179
2.105030,-0.246189
2.205023,0.657865
2.305015,0.154170
2.405008,0.268280
2.505001,-1.340563
2.604994,-0.122021
2.704986,-0.281243
2.804979,-0.170266
2.904972,-0.305987
3.004965,0.506106
3.104957,-1.532589
3.204950,0.509965
3.304943,-0.526600
3.404936,0.039867
3.504928,0.415525
3.604921,-0.277015
3.704914,0.223320
3.804907,-0.660133
3.904899,-0.184360
4.004892,-1.156730
4.104885,1.426366
4.204878,-0.401470
4.304871,-0.634667
4.404863,-0.234979
4.504856,0.091053
4.604849,1.096418
4.704842,0.314773
4.804834,-0.530148
4.904827,0.161525
5.004820,0.271793
5.104813,-1.176392
5.204805,0.267675
5.304798,0.533090
5.404791,-0.653420
5.504784,-1.063251
5.604776,-2.137203
5.704769,0.068005
5.804762,0.178370
5.904755,0.850269
6.004747,0.551128
6.104740,1.033491
6.204733,-0.650069
6.304726,0.149226
6.404718,0.224961
6.504711,0.974660
6.604704,0.350330
6.704697,-0.937569
6.804689,0.863392
6.904682,0.311663
7.004675,-0.503638
7.104668,-0.247246
7.204660,0.239380
7.304653,1.086433
7.404646,-0.123381
7.504639,-0.330289
7.604631,1.467803
7.704624,-0.626517
7.804617,0.346225
7.904610,-0.379401
8.004604,0.786805
8.104645,0.709753
8.204685,-1.638800
8.304726,0.264066
8.404766,-0.190172
8.504807,-0.217564
8.604847,-0.484879
8.704887,-0.119175
8.804928,0.564879
8.904968,0.824045
9.005009,-0.289946
9.105049,1.140344
9.205090,1.184957
9.305130,-0.568368
9.405170,-0.266061
9.505211,-0.171684
9.605251,0.700757
9.705292,0.984473
9.805332,0.266943
9.905373,0.456101
