time, Quad.IMU.AX
0.005000,0.552092
0.010000,0.073916
0.015000,0.523410
0.020000,-0.426318
0.025000,0.916732
0.030000,-0.295733
0.035000,0.183348
0.040000,-0.568596
0.045000,0.310735
0.050000,-1.084774
0.055000,0.001682
0.060000,0.411933
0.065000,-0.798256
0.070000,0.978209
0.075000,0.603226
0.080000,0.183980
0.085000,0.504457
0.090000,0.777246
0.095000,-0.025545
0.100000,0.848193
0.105000,1.066041
0.110000,0.326419
0.115000,0.060760
0.120000,-0.140632
0.125000,-0.100806
0.130000,-1.010759
0.135000,-0.074815
0.140000,0.055965
0.145000,0.396674
0.150000,0.229851
0.155000,-0.638022
0.160000,0.408150
0.165000,-0.111102
0.170000,0.277030
0.175000,0.844289
0.180000,0.023517
0.185000,-0.684383
0.190000,-0.713401
0.195000,-0.052443
0.200000,0.669602
0.205000,-0.684183
0.210000,-0.516607
0.215000,0.141654
0.220000,-0.756897
0.225000,-0.196463
0.230000,0.070891
0.235000,-0.306408
0.240000,-0.256319
0.245000,-0.538890
0.250000,-0.081498
0.255000,-0.684873
0.260000,0.199870
0.265000,-0.259279
0.270000,-0.396678
0.275000,-0.491608
0.280000,0.106491
0.285000,0.271186
0.290000,-0.500170
0.295000,-0.263600
0.300000,-0.010017
0.305000,-0.291262
0.310000,0.621158
0.314999,0.000801
0.319999,0.551764
0.324999,0.539873
0.329999,0.613838
0.334999,-0.093231
0.339999,-0.252294
0.344999,-0.027402
0.349999,-0.608721
0.354999,-0.190092
0.359999,0.132478
0.364999,0.506398
0.369999,1.158686
0.374999,0.258625
0.379999,-0.183913
0.384999,-0.635222
0.389999,0.278846
0.394998,0.167974
0.399998,-0.026450
0.404998,-0.831143
0.409998,0.233970
0.414998,-0.227255
0.419998,0.438437
0.424998,0.099705
0.429998,-0.540653
0.434998,-0.319379
0.439998,-0.208740
0.444998,0.060770
0.449998,-0.979402
0.454998,-1.205346
0.459998,0.050041
0.464998,0.371070
0.469997,-0.551847
0.474997,-0.494700
0.479997,0.898719
0.484997,0.202939
0.489997,-0.610630
0.494997,-0.111989
0.499997,-0.263337
0.504997,0.338222
0.509997,-0.367432
0.514997,0.245917
0.519997,-0.072910
0.524997,0.044082
0.529997,-0.600060
0.534997,0.129469
0.539997,0.422190
0.544997,0.228121
0.549996,-0.585329
0.554996,0.083204
0.559996,-0.471524
0.564996,0.406924
0.569996,-0.867433
0.574996,-0.043692
0.579996,-0.076676
0.584996,-0.064673
0.589996,0.356483
0.594996,0.424745
0.599996,-0.984596
0.604996,0.044034
0.609996,-0.318062
0.614996,0.086288
0.619996,0.338867
0.624996,-0.280385
0.629995,0.485080
0.634995,0.073011
0.639995,-1.083409
0.644995,-0.122003
0.649995,0.287664
0.654995,0.602698
0.659995,-0.100781
0.664995,0.556887
0.669995,0.032084
0.674995,0.166121
0.679995,-0.629514
0.684995,0.029383
0.689995,-0.002613
0.694995,0.559608
0.699995,0.557650
0.704994,-0.245277
0.709994,0.608825
0.714994,-0.273245
0.719994,-0.041558
0.724994,0.728643
0.729994,0.012873
0.734994,0.593536
0.739994,-0.708253
0.744994,0.595050
0.749994,-0.073125
0.754994,-0.238392
0.759994,0.208961
0.764994,0.368689
0.769994,-0.516227
0.774994,0.681217
0.779994,-0.147630
0.784993,-0.183234
0.789993,0.481787
0.794993,-0.996584
0.799993,-0.183094
0.804993,0.084153
0.809993,-0.449884
0.814993,-0.290212
0.819993,-0.233983
0.824993,0.398137
0.829993,0.012073
0.834993,0.263437
0.839993,0.015561
0.844993,0.600045
0.849993,-0.110966
0.854993,-0.127691
0.859993,-0.363094
0.864992,-0.179087
0.869992,-0.478746
0.874992,0.109075
0.879992,-0.091895
0.884992,-0.386339
0.889992,-0.662013
0.894992,-0.686428
0.899992,0.489651
0.904992,0.002859
0.909992,0.214654
0.914992,-0.304688
0.919992,-0.345225
0.924992,-0.230936
0.929992,0.502270
0.934992,-0.414622
0.939991,0.333835
0.944991,-0.205322
0.949991,1.285966
0.954991,-0.627385
0.959991,0.514725
0.964991,1.222066
0.969991,-0.696697
0.974991,0.999880
0.979991,-0.647320
0.984991,0.214641
0.989991,0.671485
0.994991,-0.570436
0.999991,0.282855
1.004991,0.185303
1.009991,0.037157
1.014991,0.964024
1.019992,0.631871
1.024992,-0.070563
1.029992,-0.664297
1.034992,0.022219
1.039993,0.001089
1.044993,-0.046219
1.049993,0.715595
1.054993,-0.074582
1.059994,-0.159308
1.064994,-0.064646
1.069994,-0.295678
1.074994,-0.179057
1.079994,0.550708
1.084995,0.108768
1.089995,-0.138861
1.094995,-0.114273
1.099995,0.446191
1.104996,-0.155235
1.109996,0.491707
1.114996,-0.284985
1.119996,-0.148983
1.124997,-0.379547
1.129997,-0.832960
1.134997,0.322243
1.139997,0.118894
1.144997,-0.367020
1.149998,0.984203
1.154998,0.344459
1.159998,-0.047827
1.164998,-0.418312
1.169999,-0.172893
1.174999,0.413855
1.179999,0.218392
1.184999,-0.500867
1.190000,-0.468193
1.195000,-0.066025
1.200000,-0.193497
1.205000,0.051029
1.210001,0.076797
1.215001,-0.213982
1.220001,-0.838027
1.225001,0.703862
1.230001,0.011922
1.235002,-0.465799
1.240002,-0.535287
1.245002,-0.237012
1.250002,-1.016376
1.255003,0.270953
1.260003,0.936312
1.265003,-0.332376
1.270003,-0.026673
1.275004,0.541856
1.280004,0.477995
1.285004,0.325269
1.290004,-0.866342
1.295004,0.140844
1.300005,0.269106
1.305005,0.092876
1.310005,-0.497626
1.315005,0.082287
1.320006,-0.135889
1.325006,0.396968
1.330006,0.044152
1.335006,-0.232350
1.340007,0.264394
1.345007,-0.400136
1.350007,0.146828
1.355007,-0.710001
1.360008,-0.211426
1.365008,-0.140832
1.370008,-0.267714
1.375008,1.234332
1.380008,-0.549362
1.385009,0.243658
1.390009,-0.105722
1.395009,0.211769
1.400009,0.019619
1.405010,1.201529
1.410010,-0.117592
1.415010,-0.331153
1.420010,0.493121
1.425011,-0.329611
1.430011,0.934558
1.435011,-0.012914
1.440011,-0.099395
1.445011,0.534495
1.450012,0.038830
1.455012,-0.614719
1.460012,-0.175519
1.465012,0.257114
1.470013,0.244495
1.475013,0.718071
1.480013,-0.818384
1.485013,-0.417650
1.490014,0.468634
1.495014,0.598852
1.500014,0.178233
1.505014,0.090396
1.510015,0.486068
1.515015,-0.031101
1.520015,0.195843
1.525015,0.531238
1.530015,0.217052
1.535016,-0.839649
1.540016,0.018923
1.545016,-0.182552
1.550016,0.371521
1.555017,0.199104
1.560017,0.536400
1.565017,0.658310
1.570017,0.391875
1.575018,-0.892086
1.580018,-0.186601
1.585018,-0.637480
1.590018,-0.042639
1.595019,-0.153273
1.600019,-0.762207
1.605019,0.023088
1.610019,0.023154
1.615019,0.116292
1.620020,-1.083120
1.625020,-0.139090
1.630020,-0.454592
1.635020,0.626609
1.640021,0.436076
1.645021,-0.261757
1.650021,-0.582142
1.655021,-0.223488
1.660022,0.173979
1.665022,0.415015
1.670022,0.698568
1.675022,0.637074
1.680022,0.688542
1.685023,0.471353
1.690023,0.630456
1.695023,-0.028249
1.700023,0.031483
1.705024,-0.698469
1.710024,0.184454
1.715024,-0.143626
1.720024,-0.865751
1.725025,-0.170072
1.730025,-0.773510
1.735025,0.022649
1.740025,-0.070990
1.745026,0.307264
1.750026,0.075801
1.755026,-0.399310
1.760026,0.161230
1.765026,-0.069749
1.770027,0.234042
1.775027,-0.696549
1.780027,0.015296
1.785027,0.172504
1.790028,0.271058
1.795028,-0.202699
1.800028,0.465201
1.805028,-0.549648
1.810029,0.047255
1.815029,0.351043
1.820029,0.551615
1.825029,-0.366665
1.830029,0.109288
1.835030,-0.364283
1.840030,-0.543338
1.845030,0.504106
1.850030,0.311722
1.855031,-0.181817
1.860031,-0.764807
1.865031,-0.264224
1.870031,0.549794
1.875032,0.375428
1.880032,0.090375
1.885032,-0.209368
1.890032,-0.821216
1.895033,0.091478
1.900033,-0.155883
1.905033,-1.186734
1.910033,0.403506
1.915033,0.087264
1.920034,-0.603257
1.925034,0.097178
1.930034,0.618578
1.935034,-0.068279
1.940035,0.205875
1.945035,-0.048267
1.950035,0.421844
1.955035,-0.088387
1.960036,-0.410446
1.965036,-0.593050
1.970036,0.533394
1.975036,-0.405456
1.980036,-0.224423
1.985037,0.389564
1.990037,-0.326243
1.995037,0.396798
2.000037,0.178979
2.005037,-0.430371
2.010037,0.334623
2.015036,0.178677
2.020036,0.186528
2.025036,0.179504
2.030035,-0.409289
2.035035,0.561105
2.040035,0.327288
2.045034,-0.525961
2.050034,0.020841
2.055033,0.783886
2.060033,-0.256512
2.065033,-0.377611
2.070032,-0.054809
2.075032,-0.308713
2.080032,-0.437946
2.085031,0.551272
2.090031,0.057780
2.095031,-0.588459
2.100030,0.280887
2.105030,-0.179047
2.110029,0.879105
2.115029,-0.723700
2.120029,-0.309680
2.125028,-0.020165
2.130028,0.728613
2.135028,-0.349319
2.140027,-1.899175
2.145027,0.301267
2.150027,-0.249471
2.155026,0.140530
2.160026,0.486905
2.165025,-0.315616
2.170025,-0.708634
2.175025,-0.445457
2.180024,0.168802
2.185024,0.451804
2.190024,-0.077662
2.195023,0.294357
2.200023,-0.548082
2.205023,0.069512
2.210022,0.711859
2.215022,1.257265
2.220021,-0.274022
2.225021,-0.582703
2.230021,0.396343
2.235020,0.011847
2.240020,0.012420
2.245020,-0.519850
2.250019,-0.658498
2.255019,-0.903489
2.260019,-1.302581
2.265018,-0.140702
2.270018,0.237598
2.275017,0.365798
2.280017,0.802811
2.285017,-0.184511
2.290016,0.106410
2.295016,-0.667368
2.300016,0.960097
2.305015,0.109153
2.310015,0.835411
2.315015,0.408203
2.320014,1.039946
2.325014,0.220656
2.330014,-0.038962
2.335013,-0.120851
2.340013,-0.466303
2.345012,0.153328
2.350012,0.730462
2.355012,-0.391674
2.360011,0.290080
2.365011,-0.768132
2.370011,0.690970
2.375010,0.184267
2.380010,-0.093513
2.385010,-1.260823
2.390009,-0.393245
2.395009,0.003830
2.400008,0.092291
2.405008,-0.059148
2.410008,-0.289052
2.415007,-0.120901
2.420007,0.538950
2.425007,0.320329
2.430006,0.587072
2.435006,-0.387163
2.440006,-0.180249
2.445005,0.198735
2.450005,-0.091240
2.455004,0.661556
2.460004,0.418106
2.465004,-0.921285
2.470003,-0.648416
2.475003,-0.416566
2.480003,0.204086
2.485002,0.089073
2.490002,-0.928432
2.495002,-0.229365
2.500001,0.025896
2.505001,0.248973
2.510000,-0.039829
2.515000,-0.428299
2.520000,-0.043946
2.524999,-0.500797
2.529999,0.208880
2.534999,-0.645270
2.539998,0.085299
2.544998,0.077745
2.549998,-0.281560
2.554997,-0.311179
2.559997,-0.142969
2.564996,-0.126232
2.569996,-0.957400
2.574996,0.137226
2.579995,-0.286954
2.584995,0.306208
2.589995,0.452554
2.594994,-0.817943
2.599994,0.517938
2.604994,0.762536
2.609993,0.520484
2.614993,1.266834
2.619992,-0.148048
2.624992,0.828112
2.629992,-0.361748
2.634991,-0.569760
2.639991,0.864228
2.644991,0.625825
2.649990,0.000360
2.654990,-0.202531
2.659990,0.365950
2.664989,0.282895
2.669989,-0.127537
2.674989,0.715517
2.679988,-0.734724
2.684988,-0.674503
2.689987,0.282249
2.694987,-0.592763
2.699987,-0.041160
2.704986,-0.592629
2.709986,0.258453
2.714986,-0.776478
2.719985,0.410713
2.724985,-0.359789
2.729985,0.588483
2.734984,0.409509
2.739984,-0.091974
2.744983,-0.572666
2.749983,-0.071897
2.754983,0.411631
2.759982,-0.583265
2.764982,0.033528
2.769982,0.209641
2.774981,0.264434
2.779981,0.626904
2.784981,0.490634
2.789980,-0.208474
2.794980,-0.115839
2.799979,0.027256
2.804979,-0.184749
2.809979,-0.376631
2.814978,0.059993
2.819978,0.156784
2.824978,-0.492833
2.829977,0.762582
2.834977,0.262705
2.839977,0.574846
2.844976,0.828749
2.849976,-0.424403
2.854975,-0.118768
2.859975,-0.025452
2.864975,-0.902049
2.869974,0.736622
2.874974,-0.461557
2.879974,0.185978
2.884973,0.354472
2.889973,-0.260586
2.894973,-0.167442
2.899972,0.573912
2.904972,-0.031567
2.909971,0.773575
2.914971,0.258033
2.919971,0.274281
2.924970,0.184511
2.929970,-0.605538
2.934970,-0.204012
2.939969,-0.056668
2.944969,-0.285557
2.949969,0.200097
2.954968,0.205693
2.959968,-0.846970
2.964967,0.174334
2.969967,0.017797
2.974967,0.470916
2.979966,-0.260504
2.984966,-0.450010
2.989966,-0.156183
2.994965,0.975715
2.999965,-1.218290
3.004965,0.334874
3.009964,0.824169
3.014964,-0.295024
3.019964,-0.358093
3.024963,0.243747
3.029963,-0.240522
3.034962,-0.438060
3.039962,0.100843
3.044962,0.051182
3.049961,0.596385
3.054961,-0.271692
3.059961,-0.440111
3.064960,-0.050525
3.069960,0.301217
3.074960,0.154038
3.079959,-0.552465
3.084959,0.424895
3.089958,-0.017956
3.094958,-1.007210
3.099958,-0.473026
3.104957,-0.348624
3.109957,0.038119
3.114957,0.058262
3.119956,-0.823576
3.124956,0.060999
3.129956,0.891918
3.134955,0.966716
3.139955,-0.072095
3.144954,-0.747064
3.149954,-1.083450
3.154954,0.441419
3.159953,-0.042977
3.164953,-0.270639
3.169953,-0.545902
3.174952,0.006986
3.179952,0.161139
3.184952,-0.711525
3.189951,-0.344656
3.194951,0.791910
3.199950,-0.311849
3.204950,-0.461591
3.209950,0.646614
3.214949,0.289348
3.219949,-0.623757
3.224949,0.194781
3.229948,0.145985
3.234948,0.425629
3.239948,-0.512819
3.244947,-0.054646
3.249947,0.175396
3.254946,-0.197293
3.259946,-0.027913
3.264946,-0.706197
3.269945,-0.564773
3.274945,0.598811
3.279945,-0.918053
3.284944,-0.274162
3.289944,-0.165007
3.294944,-0.274546
3.299943,-0.313662
3.304943,-0.257181
3.309942,0.030098
3.314942,0.704182
3.319942,-1.024010
3.324941,-0.003602
3.329941,0.784356
3.334941,-0.210274
3.339940,-0.594819
3.344940,0.037726
3.349940,-0.200997
3.354939,-0.443298
3.359939,-0.753281
3.364938,-0.078075
3.369938,-0.534929
3.374938,0.300697
3.379937,-0.002629
3.384937,-0.369927
3.389937,-0.985642
3.394936,-0.403055
3.399936,-0.696433
3.404936,0.726641
3.409935,0.070702
3.414935,0.039792
3.419935,0.354618
3.424934,0.710425
3.429934,-0.002768
3.434933,0.154208
3.439933,1.389390
3.444933,-0.155455
3.449932,-0.051434
3.454932,-0.172771
3.459932,0.479313
3.464931,-0.535868
3.469931,-0.352672
3.474931,0.947912
3.479930,-0.529271
3.484930,0.070346
3.489929,-0.287846
3.494929,0.129225
3.499929,0.250637
3.504928,-0.567355
3.509928,-0.547301
3.514928,-0.839222
3.519927,-0.629507
3.524927,0.636125
3.529927,-0.522102
3.534926,-0.239337
3.539926,-0.802518
3.544925,-0.289116
3.549925,-0.062387
3.554925,0.298549
3.559924,0.292405
3.564924,0.147492
3.569924,-0.191317
3.574923,0.026023
3.579923,-0.569058
3.584923,0.678370
3.589922,-0.718928
3.594922,0.078647
3.599921,0.479369
3.604921,0.366408
3.609921,0.835586
3.614920,0.195632
3.619920,0.094450
3.624920,-0.596400
3.629919,-1.101403
3.634919,0.895884
3.639919,0.719517
3.644918,0.169983
3.649918,-0.788163
3.654917,0.139014
3.659917,0.190782
3.664917,0.739092
3.669916,-0.274930
3.674916,0.089389
3.679916,-0.193162
3.684915,0.434144
3.689915,-0.617059
3.694915,0.097181
3.699914,-0.947893
3.704914,-1.077096
3.709913,1.390884
3.714913,0.666639
3.719913,-0.324115
3.724912,0.244329
3.729912,0.025405
3.734912,0.134566
3.739911,-0.564259
3.744911,0.418462
3.749911,0.519046
3.754910,0.321233
3.759910,-0.315918
3.764910,0.503640
3.769909,-0.026354
3.774909,0.506099
3.779908,0.167113
3.784908,-0.717368
3.789908,0.841520
3.794907,0.231469
3.799907,0.219236
3.804907,1.106196
3.809906,-0.980040
3.814906,-0.112072
3.819906,-0.619032
3.824905,0.575834
3.829905,-0.251502
3.834904,-0.548532
3.839904,-0.528240
3.844904,0.820456
3.849903,0.970434
3.854903,-0.196241
3.859903,-0.546310
3.864902,0.180222
3.869902,0.182228
3.874902,0.750754
3.879901,-0.495655
3.884901,-0.231387
3.889900,-0.837479
3.894900,0.300098
3.899900,0.240319
3.904899,-0.671889
3.909899,0.298448
3.914899,0.502621
3.919898,-0.687119
3.924898,0.433231
3.929898,-0.192075
3.934897,0.111848
3.939897,0.183500
3.944896,-0.221127
3.949896,-0.458638
3.954896,0.004770
3.959895,-0.816625
3.964895,-0.462992
3.969895,-0.411895
3.974894,0.205129
3.979894,0.399570
3.984894,-0.443860
3.989893,-0.142749
3.994893,0.984990
3.999892,-0.187689
4.004892,0.177069
4.009892,0.715158
4.014892,0.079714
4.019891,-0.470881
4.024891,0.620441
4.029891,-0.268428
4.034890,-0.285633
4.039890,-0.698575
4.044889,-0.415915
4.049889,-0.712984
4.054889,0.352696
4.059888,-0.112512
4.064888,-0.668583
4.069888,-0.174910
4.074887,0.216675
4.079887,-0.151094
4.084887,-0.064258
4.089886,0.588141
4.094886,-0.230481
4.099885,0.081076
4.104885,0.036635
4.109885,-0.214900
4.114884,-0.016845
4.119884,-0.126665
4.124884,-0.914287
4.129883,-0.350940
4.134883,0.141771
4.139883,-0.582525
4.144882,-0.589999
4.149882,0.999181
4.154881,0.700328
4.159881,0.413692
4.164881,-0.135368
4.169880,-0.562373
4.174880,0.170577
4.179880,0.418973
4.184879,-0.303806
4.189879,0.406451
4.194879,-0.370057
4.199878,-0.225516
4.204878,-0.864766
4.209877,0.407524
4.214877,-0.089710
4.219877,0.741300
4.224876,0.582822
4.229876,0.581037
4.234876,-0.426793
